bookmeter_url,isbn_or_asin,book_title,author,publisher,published_date
https://bookmeter.com/books/12629879,4893088904,処刑の文化史,"Moore,JonathanJ 森本,美樹,翻訳家",ブックマン社,201802
https://bookmeter.com/books/6424055,4873115876,Land of Lisp,"Barski,Conrad 川合,史朗",オーム社,201302
https://bookmeter.com/books/387367,4003252411,美味礼讃　上,ブリア－サヴァラン,岩波書店,1967-01
https://bookmeter.com/books/41059,4003319311,河童駒引考 : 比較民族学的研究 (岩波文庫),"石田,英一郎,1903-1968",岩波書店,199405
https://bookmeter.com/books/18763,4480087370,初版　金枝篇　（上）,Ｊ・Ｇ・フレイザー／著 吉川信／翻訳,筑摩書房,20030101
https://bookmeter.com/books/13739007,4309416721,法水麟太郎全短篇 お18-5 (河出文庫),"小栗,虫太郎,1901-1946 日下,三蔵,1968-",河出書房新社,201905
https://bookmeter.com/books/12170535,4865281762,RED ヒトラーのデザイン,松田行正／著,左右社,20170801
https://bookmeter.com/books/13488340,4653044481,怪異学の地平,東アジア恠異学会,臨川書店,201812
https://bookmeter.com/books/9842555,4873117364,Effective Modern C++ : C++11/14プログラムを進化させる42項目,"Meyers,ScottDouglas 千住,治郎",オーム社,201509
https://bookmeter.com/books/13384498,4314011661,書物の破壊の世界史 : シュメールの粘土板からデジタル時代まで,"Báez,Fernando,1970- 八重樫,克彦 八重樫,由貴子",紀伊國屋書店,201903
https://bookmeter.com/books/4594481,4839941068,プログラミングコンテストチャレンジブック : 問題解決のアルゴリズム活用力とコーディングテクニックを鍛える,"秋葉,拓哉 岩田,陽一 北川,宜稔",マイナビ,201201
https://bookmeter.com/books/625503,B000JB0F0A,Not_found_in_OpenBD,Not_found_in_OpenBD,Not_found_in_OpenBD,Not_found_in_OpenBD
https://bookmeter.com/books/18779,4480087389,初版　金枝篇　（下）,Ｊ・Ｇ・フレイザー／著 吉川信／翻訳,筑摩書房,20030201
https://bookmeter.com/books/503666,400325242X,美味礼讃 下 (岩波文庫),Ｂｒｉｌｌａｔ‖Ｓａｖａｒｉｎ,岩波書店,1967-01
