isbn_or_asin,book_title,author,publisher,published_date,sophia_opac,sophia_mathlib_opac
4000058428,はじめての統計的因果推論,"林,岳彦,1974-",岩波書店,202402,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD05898241,
4087213129,なぜ働いていると本が読めなくなるのか 1212 (集英社新書),"三宅,香帆,1994-",集英社,202404,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD06546920,
4480074996,日本の中絶 １６７７ (ちくま新書),塚原久美／著,筑摩書房,20220808,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC16256271,
4627614713,実用メカニズム事典 = Mechanism Encyclopedia : 機械設計の発想力を鍛える機構101選,"岩本,太郎",森北出版,202002,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB29727395,
4535540489,データ駆動型回帰分析 : 計量経済学と機械学習の融合,"末石,直也",日本評論社,202404,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD06593647,
4254161395,Pythonによる気象・気候データ解析. 2,"神山,翼",朝倉書店,202405,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD06757289,
4254161387,Pythonによる気象・気候データ解析. 1,"神山,翼",朝倉書店,202405,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD06757074,
4535788987,楕円積分と楕円関数 : おとぎの国の歩き方,"武部,尚志",日本評論社,201909,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB28917012,
4627061714,よくわかるトポロジー,"山本,修身",森北出版,201504,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB18534265,
4062573962,制御工学の考え方 : 産業革命は「制御」からはじまった (ブルーバックス),"木村,英紀,1941-",講談社,200212,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA60067160,
4274231534,Pythonによる制御工学入門,"南,裕樹,1982-",オーム社,202401,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD05301360,
4065301211,はじめての現代制御理論 = A 1st Course in Modern Control Theory,"佐藤,和也,制御工学 下本,陽一 熊澤,典良",講談社,202212,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC18846334,
4065137470,はじめての制御工学 = A 1st Course in Control Engineering,"佐藤,和也,制御工学 平元,和彦 平田,研二",講談社,201811,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB27287087,
4274224309,実践ロボット制御 : 基礎から動力学まで,"細田,耕,1965-",オーム社,201911,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB29197702,
4065146852,"線形性・固有値・テンソル = Linearity,Eigenvalue,Tensor : 〈線形代数〉応用への最短コース","原,啓介,1968-",講談社,201902,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB27796579,
4903342611,整数の分割,G.アンドリュース／著 Ｋ．エリクソン／著 佐藤文広／訳,数学書房,20060531,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA77062795,
4087211169,著作権とは何か : 文化と創造のゆくえ 1016 (集英社新書),"福井,健策,1965-",集英社,202003,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB29891774,
4320125673,データ分析失敗事例集 = Data Analytics Nightmare : 失敗から学び、成功を手にする,"尾花山,和哉 ホクソエム",共立出版,202308,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD03280226,
4535559961,医療の経済学 = Health Economics : 経済学の視点で日本の医療政策を考える,"河口,洋行",日本評論社,202012,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC04610566,
4320113845,実解析の助け舟 : 証明の理解に必要なすべてのツール,"Grinberg,Raffi,1990- 蟹江,幸博,1948-",共立出版,201909,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB28977240,
4062576201,高校数学でわかるボルツマンの原理 : 熱力学と統計力学を理解しよう B-1620 (ブルーバックス),"竹内,淳,1960-",講談社,200811,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA8792734X,
4062575450,高校数学でわかる半導体の原理 : 電子の動きを知って理解しよう B-1545 (ブルーバックス),"竹内,淳,1960-",講談社,200703,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA81239209,
4062574705,高校数学でわかるシュレディンガー方程式 : 量子力学を学びたい人、ほんとうに理解したい人へ (ブルーバックス),"竹内,淳,1960-",講談社,200503,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA71291064,
4621309048,アルゴリズム設計マニュアル. 下,"Skiena,StevenS 平田,富夫,1949-",丸善出版,202401,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4621309048,
462130903X,アルゴリズム設計マニュアル. 上,"Skiena,StevenS 平田,富夫,1949-",丸善出版,202401,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=462130903X,
